,number,Text processed
0,我今天早上跟鄭普林去那個修腳踏車,
1,ha,
2,修腳踏車,
3,喔上次是手機上次是手機,
4,喔然後呢,
5,你們感情好好,
6,對啊然後呢看M2,
7,沒有啊和M1對看,
8,喔好好玩,
9,為什麼,
10,沒有啊,
11,為什麼會遇到他,
12,那你那你有再跟龍餅元講嗎,
13,不會絕對不會啊,
14,為什麼,
15,為什麼我是我是好心我是好心,
16,那你上次還這樣,
17,等一下抱歉龍餅元還在政大我們不可以講這個話題很奇怪,
18,龍餅元他不他不會去看語料庫啊,
19,會啊他是他是學語言的啊語料語言跟語料,
20,喔對他是學語言的耶,
21,好像蠻近,
22,可是你自己要爆出這個的耶,
23,不是我提到鄭普林然後你們就直接瘋狂,
24,我我哪有瘋狂,
25,好我我好,
26,是你瘋狂,
27,我我不在意我要講的是我就遇到曾偉霆也在那邊,
28,然後就,
29,ha還有曾偉霆,
30,對還有曾偉霆怎樣,
31,喔好,
32,怎樣我問一下而已啊,
33,那你會講嗎,
34,ha去教室啊,
35,那你會跟他講嗎,
36,他不知道這件事情,
37,哦,
38,那我們可以跟他講嗎,
39,不行沒有可以啊白癡,
40,然後嘞那個他就跟我分享他昨天上課的時候就是法理學,
41,我們不是分組嗎,
42,嗯,
43,然後他分到一個怪人就是有一個怪人一進教室就猛盯著他,
44,誰,
45,不知道就就有,
46,誰誰誰跟你講的,
47,鄭普林,
48,他跟我們一組啊,
49,對啊他坐我旁邊,
50,沒有他說他前面坐著一個怪人,
51,哦那個重,
52,誰,
53,就那個重修的那個遲到很久的,
54,沒有可是他好像是司法組的耶,
55,嗯聳肩,
56,是坐在我前面那個嗎,
57,誰,
58,最後一個吧,
59,是長什麼樣子,
60,誰啊,
61,我不知道什麼樣子反正鄭普林一直說那個人跟他高中在,
62,一中認識一個人很像可是我們故事聊到最後曾偉霆才,
63,那個人好像是司法組的可是這個不是重要的事情,
64,昨天那個是法律組的,
65,我不知道反正那個可是那個人不是跟你們同一組那個人坐在前面的,
66,二排,
67,哦那我知道了,
68,你你知道這個人,
69,跟我們坐在最前面啊,
70,對啊我們坐在,
71,我不知道是誰,
72,然後這個人喔但是我要說的他誤以為這個人在中一中他好像叫,
73,什麼什麼傑的等一下他有跟你聊過這個故事嗎,
74,就是台中他說在台中有一家衣蝶百貨跟一家新光然後隔,
75,一公里然後那個男的有一次不小心在新光三越那邊就是他,
76,搭到校車,
77,嗯,
78,然後中一中搭公車他遇到鄭普林然後就被他煞到了然後之後他每天,
79,走一公里自己家的那個公車站不搭走一公里去找他,
80,手捂嘴巴,
81,然後跟他講跟跟他聊天,
82,他是在路上看到他喔,
83,對對對對對你不知道這個故事,
84,那鄭普林覺得很怪喔,
85,對沒有鄭,
86,好可憐沒有鄭普林覺得他不怪他只是說他很醜又無聊然後就完全不,
87,他我就說為什麼,
88,好壞喔,
89,而且重鄭普林超壞,
90,而且而且這個人我看之後我還看了臉書他完全不醜而且重點是他現在,
91,台eh這個有沒有關係啊算了應該沒關係他台大,
92,所以真的是那個人喔,
93,ha,
94,真的是那個人,
95,不不是昨天臺大那個應該不是我不知道應該不是,
96,那他現在是台大的喔,
